Address,Aggravated assault,Arson,Burglary,Larceny,Murder,Robbery,Vehicle theft,Total
1000 block Valley Dr,,,1,,,,,1
1000 block W Belden Av,,,,2,,,,2
1000 block W Fayette St,,,1,1,,,,2
1000 block W Genesee St,1,,1,22,,,1,25
1000 block W Genessee St,,,,1,,,,1
1000 block W Onondaga St,2,,1,1,,,,4
1000 block Wadsworth St,,,,1,,,,1
1000 block Walnut Av,,,,1,,,,1
1000 block Westcott St,,,1,1,,,,2
1000 block Westmoreland Av,,,1,,,,,1
1000 block Willis Av,,,2,,,,,2
1000 block Wolf St,,,,1,,,,1
1100 block Avery Av,1,,,,,,,1
1100 block Ballantyne Rd,,,,1,,,,1
1100 block Bellevue Av,,,,2,,1,2,5
1100 block Butternut St,1,,1,2,,1,,5
1100 block Cannon St,3,,1,,,,,4
1100 block Carbon St,,,1,,,,1,2
1100 block E Fayette St,1,,1,1,,,,3
1100 block E Genesee St,,,,1,,,,1
1100 block E Washington St,,,,1,,,,1
1100 block Erie Blvd E,,,,2,,,,2
1100 block Erie Blvd W,,,,,,,1,1
1100 block First North St,,,,2,,,,2
1100 block Grant Blvd,,,1,,,,,1
1100 block James St,,,,3,,,,3
1100 block Kirkpatrick St,,,1,,,,,1
1100 block Lancaster Av,1,,,,,,,1
1100 block Lodi St,,,,1,,,,1
1100 block Madison St,,,3,,,,,3
1100 block N Salina St,1,,,15,,3,,19
1100 block N Townsend St,1,,,1,,,,2
1100 block Park St,,,2,4,,,,6
1100 block S Geddes St,,,,,,,1,1
1100 block S Salina St,,,,2,,,,2
1100 block S Townsend St,1,,,,,,,1
1100 block Salt Springs Rd,1,,,1,,,,2
1100 block South Av,1,,,,,,,1
1100 block Spring St,,,,2,,,,2
1100 block Sunnycrest Rd,,,,1,,,,1
1100 block Teal Av,1,,,,,,,1
1100 block Teall Av,1,,,2,,,,3
1100 block W Belden Av,,,1,1,,,2,4
1100 block W Colvin St,1,,2,1,,,,4
1100 block W Genesee St,,,1,1,,,,2
1100 block W Onondaga St,,,2,2,,,,4
1100 block Westcott St,1,,,,,,,1
1100 block Willis Av,,,,1,,,,1
1100 block Wolf St,,,1,1,,,,2
1200 block Almond St,,,,5,,,1,6
1200 block Avery Av,,,3,2,,,,5
1200 block Bellevue Av,,,1,,,,,1
1200 block Burnet Av,,,,1,,,2,3
1200 block Butternut St,1,,3,,,1,1,6
1200 block E Fayette St,1,,,1,,,,2
1200 block E Genesee St,,,,1,,,,1
1200 block First North St,1,,,,,,,1
